,Bakery,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
Bakery,1.0,0.004422,0.399272,0.258941,0.552478,0.504877,0.631161,0.437118,0.00104,0.276759,0.211731,0.665886,0.459618,0.013136,0.357784,0.65197,0.470933,0.083756,0.195864,0.357134,0.072181,0.643777,0.002731,0.309273,0.679932,0.360775,0.225257,0.150345,0.205879,0.026792,0.001561,0.330212
Candied & Chocolate Covered Fruit,0.515152,1.0,0.409091,0.257576,0.378788,0.348485,0.484848,0.318182,0.0,0.363636,0.19697,0.515152,0.318182,0.060606,0.333333,0.409091,0.348485,0.121212,0.257576,0.257576,0.030303,0.560606,0.030303,0.212121,0.424242,0.242424,0.136364,0.075758,0.272727,0.015152,0.0,0.181818
Candy & Chocolate,0.632338,0.005561,1.0,0.268795,0.535942,0.507106,0.581256,0.438723,0.001648,0.30587,0.220185,0.605561,0.457467,0.017508,0.362719,0.579815,0.447786,0.083831,0.216272,0.354892,0.074562,0.576107,0.001236,0.301957,0.686509,0.377961,0.221009,0.157364,0.210093,0.030484,0.000618,0.334501
Coffee,0.530368,0.004529,0.347629,1.0,0.474427,0.447789,0.516249,0.374534,0.001598,0.233884,0.179275,0.533031,0.409696,0.015184,0.307405,0.51252,0.392914,0.08391,0.186201,0.304475,0.066063,0.500266,0.00293,0.267182,0.558071,0.303942,0.20032,0.122802,0.220298,0.026638,0.001066,0.290357
Condiments & Sauces,0.700643,0.004123,0.42916,0.293749,1.0,0.588323,0.694046,0.501072,0.00099,0.294244,0.234867,0.74567,0.527132,0.014514,0.40508,0.712519,0.515421,0.101105,0.230084,0.425367,0.087415,0.675573,0.002639,0.372093,0.7206,0.398153,0.271648,0.159657,0.228105,0.033152,0.001814,0.364671
Cooking & Baking Ingredients,0.69433,0.004114,0.440351,0.300662,0.63799,1.0,0.687176,0.491504,0.000894,0.292434,0.227508,0.732964,0.53139,0.013951,0.39814,0.683956,0.512788,0.102665,0.243606,0.417099,0.087462,0.632445,0.000537,0.396709,0.714005,0.388124,0.263459,0.15668,0.243606,0.032016,0.001967,0.355214
Dairy Products,0.745812,0.004918,0.433687,0.297833,0.646688,0.590441,1.0,0.5073,0.000768,0.306439,0.237437,0.780083,0.52359,0.014907,0.407715,0.75949,0.548947,0.100815,0.222222,0.415706,0.082219,0.702167,0.001844,0.365145,0.743507,0.412325,0.258183,0.16536,0.234517,0.031966,0.001383,0.372983
Dips & Spreads,0.764037,0.004774,0.484201,0.319618,0.690612,0.624687,0.750398,1.0,0.002046,0.344169,0.26847,0.781541,0.575358,0.018413,0.44601,0.75699,0.573994,0.117754,0.251421,0.464196,0.091839,0.716299,0.001137,0.386451,0.78336,0.434644,0.295976,0.180496,0.247784,0.040464,0.001591,0.401455
Food Gift Baskets,0.186047,0.0,0.186047,0.139535,0.139535,0.116279,0.116279,0.209302,1.0,0.046512,0.046512,0.186047,0.186047,0.0,0.069767,0.186047,0.116279,0.0,0.116279,0.093023,0.046512,0.162791,0.023256,0.069767,0.162791,0.0,0.023256,0.0,0.069767,0.0,0.0,0.139535
Frozen Desserts & Novelties,0.778632,0.008782,0.543359,0.321259,0.652763,0.598244,0.729601,0.55397,0.000732,1.0,0.299305,0.758873,0.563483,0.027076,0.479693,0.75375,0.59678,0.10794,0.252104,0.448591,0.087084,0.758141,0.004391,0.373948,0.750091,0.465789,0.290157,0.169777,0.267472,0.043908,0.002195,0.410904
Fruit Flavored Drinks,0.70233,0.005608,0.461173,0.290336,0.614323,0.548749,0.666523,0.509491,0.000863,0.35289,1.0,0.698447,0.51855,0.016825,0.468076,0.702761,0.534944,0.103538,0.229077,0.420621,0.113891,0.676014,0.000431,0.339085,0.718292,0.462468,0.251079,0.225194,0.252804,0.035375,0.002157,0.449957
Fruits & Vegetables,0.682394,0.004532,0.391843,0.266693,0.602559,0.546182,0.676529,0.458217,0.001066,0.276423,0.21578,1.0,0.490071,0.012528,0.371718,0.698787,0.491537,0.092363,0.217246,0.376383,0.074637,0.644542,0.0012,0.34053,0.686792,0.367186,0.238971,0.146075,0.214181,0.030121,0.001733,0.34053
"Grains, Rice & Cereal",0.758206,0.004505,0.476507,0.329972,0.68569,0.637417,0.730959,0.543017,0.001716,0.330401,0.257885,0.788887,1.0,0.017164,0.453122,0.741686,0.5885,0.114568,0.270114,0.468354,0.092255,0.698777,0.001287,0.403776,0.797254,0.413431,0.291139,0.171208,0.259386,0.038618,0.001287,0.395623
Hot Chocolate,0.58046,0.022989,0.488506,0.327586,0.505747,0.448276,0.557471,0.465517,0.0,0.425287,0.224138,0.54023,0.45977,1.0,0.425287,0.551724,0.505747,0.086207,0.206897,0.350575,0.063218,0.66092,0.011494,0.275862,0.551724,0.350575,0.212644,0.063218,0.270115,0.057471,0.0,0.241379
Juice,0.775585,0.006202,0.496476,0.325345,0.692416,0.627573,0.747956,0.553144,0.000846,0.369608,0.305892,0.786298,0.595433,0.020863,1.0,0.774739,0.613194,0.117,0.252044,0.469975,0.093036,0.727093,0.003665,0.39329,0.787144,0.460107,0.293206,0.19002,0.267832,0.038906,0.002537,0.435861
"Meat, Seafood & Eggs",0.706255,0.003804,0.396591,0.271062,0.608622,0.538743,0.696252,0.469146,0.001127,0.290223,0.229501,0.738659,0.487039,0.013525,0.387151,1.0,0.513807,0.093125,0.202592,0.384052,0.077768,0.68625,0.001972,0.332488,0.694139,0.384756,0.245703,0.157368,0.215976,0.030149,0.001691,0.355452
Milk,0.858057,0.00545,0.515166,0.349526,0.740521,0.679384,0.846445,0.598341,0.001185,0.386493,0.293839,0.873934,0.65,0.020853,0.515403,0.864218,1.0,0.112322,0.257583,0.503555,0.099526,0.779147,0.001659,0.41872,0.83436,0.487204,0.313744,0.197156,0.280332,0.039336,0.001422,0.446445
Non-Dairy Milk,0.796044,0.009889,0.50309,0.38937,0.757726,0.709518,0.810878,0.640297,0.0,0.364648,0.296663,0.856613,0.660074,0.018541,0.512979,0.817058,0.585909,1.0,0.368356,0.487021,0.092707,0.749073,0.0,0.451174,0.802225,0.416564,0.336218,0.197775,0.283066,0.090235,0.001236,0.458591
Nuts & Seeds,0.684545,0.007727,0.477273,0.317727,0.634091,0.619091,0.657273,0.502727,0.002273,0.313182,0.241364,0.740909,0.572273,0.016364,0.406364,0.653636,0.494091,0.135455,1.0,0.408182,0.084545,0.608636,0.000455,0.433182,0.746364,0.366364,0.273182,0.17,0.264545,0.045,0.001364,0.373182
Pasta & Noodles,0.775268,0.0048,0.486448,0.322699,0.72812,0.658385,0.763693,0.57651,0.001129,0.346132,0.275268,0.79729,0.616318,0.017222,0.470638,0.769622,0.599944,0.111237,0.253529,1.0,0.100508,0.76087,0.000847,0.42349,0.793902,0.451158,0.322417,0.195935,0.269339,0.041502,0.002259,0.409656
Powdered Beverage Mixes,0.72549,0.002614,0.473203,0.324183,0.69281,0.639216,0.699346,0.528105,0.002614,0.311111,0.345098,0.732026,0.562092,0.014379,0.431373,0.721569,0.54902,0.098039,0.243137,0.465359,1.0,0.666667,0.001307,0.398693,0.776471,0.426144,0.290196,0.261438,0.24183,0.018301,0.0,0.397386
Prepared Foods,0.43697,0.003266,0.24691,0.165784,0.361582,0.312147,0.403337,0.27816,0.000618,0.18291,0.13833,0.426907,0.287518,0.010152,0.227666,0.429996,0.290254,0.053496,0.118203,0.237906,0.045021,1.0,0.003266,0.191031,0.431144,0.242673,0.149629,0.094809,0.140802,0.01898,0.000883,0.215395
Prepared Meals,0.241379,0.022989,0.068966,0.126437,0.183908,0.034483,0.137931,0.057471,0.011494,0.137931,0.011494,0.103448,0.068966,0.022989,0.149425,0.16092,0.08046,0.0,0.011494,0.034483,0.011494,0.425287,1.0,0.022989,0.206897,0.126437,0.011494,0.011494,0.068966,0.0,0.0,0.011494
Seasonings & Spices,0.731242,0.004305,0.4508,0.308426,0.693727,0.682042,0.730627,0.522755,0.000923,0.314268,0.241697,0.78567,0.578721,0.01476,0.428967,0.725707,0.543358,0.112239,0.29305,0.461255,0.093788,0.665437,0.000615,1.0,0.742005,0.395756,0.310271,0.166667,0.26722,0.040898,0.001845,0.373309
Snack Foods,0.601265,0.00322,0.383324,0.240943,0.502473,0.459114,0.556412,0.39632,0.000805,0.235768,0.191489,0.592639,0.427372,0.011041,0.321104,0.566647,0.404945,0.074641,0.188844,0.323404,0.068315,0.561702,0.00207,0.277516,1.0,0.340771,0.2023,0.145601,0.186199,0.023922,0.001265,0.299827
Soda,0.600693,0.003465,0.397358,0.247077,0.522737,0.4699,0.580987,0.414032,0.0,0.27566,0.232135,0.596579,0.41728,0.013209,0.3534,0.591382,0.445214,0.072975,0.174534,0.346037,0.070593,0.595279,0.002382,0.278692,0.64162,1.0,0.222607,0.17605,0.203118,0.021654,0.001083,0.354916
Soups & Broths,0.797789,0.004146,0.494242,0.346384,0.758637,0.678489,0.773837,0.599724,0.000461,0.365269,0.268079,0.825887,0.625058,0.017043,0.479042,0.803316,0.609857,0.125288,0.276831,0.526025,0.102257,0.780746,0.000461,0.464763,0.810226,0.473515,1.0,0.205896,0.285583,0.042377,0.004606,0.427453
Sports & Energy Drinks,0.604603,0.002615,0.399582,0.241109,0.506276,0.458159,0.562762,0.415272,0.0,0.242678,0.273013,0.573222,0.417364,0.005753,0.35251,0.584205,0.435146,0.083682,0.195607,0.362971,0.104603,0.561715,0.000523,0.283473,0.662134,0.425209,0.233787,1.0,0.220188,0.009414,0.001046,0.400105
Tea & Infusions,0.561746,0.006388,0.361959,0.293471,0.490774,0.483322,0.541519,0.386799,0.001065,0.259404,0.207949,0.570263,0.429028,0.016678,0.337119,0.544003,0.419801,0.081263,0.206529,0.338538,0.065649,0.566004,0.002129,0.308375,0.574521,0.33286,0.220014,0.149397,1.0,0.026615,0.001774,0.30873
"Tofu, Soy & Vegetarian Products",0.760148,0.00369,0.546125,0.369004,0.741697,0.660517,0.767528,0.656827,0.0,0.442804,0.302583,0.833948,0.664207,0.0369,0.509225,0.789668,0.612546,0.269373,0.365314,0.542435,0.051661,0.793358,0.0,0.490775,0.767528,0.369004,0.339483,0.066421,0.276753,1.0,0.0,0.391144
Vinegar Drinks,0.631579,0.0,0.157895,0.210526,0.578947,0.578947,0.473684,0.368421,0.0,0.315789,0.263158,0.684211,0.315789,0.0,0.473684,0.631579,0.315789,0.052632,0.157895,0.421053,0.0,0.526316,0.0,0.315789,0.578947,0.263158,0.526316,0.105263,0.263158,0.0,1.0,0.210526
Water,0.705866,0.003336,0.451487,0.30303,0.614679,0.552127,0.674729,0.490965,0.001668,0.312205,0.289964,0.710314,0.512649,0.011676,0.429803,0.701418,0.52377,0.103142,0.228246,0.403392,0.084515,0.678343,0.000278,0.337503,0.724771,0.455657,0.257993,0.212677,0.241868,0.029469,0.001112,1.0
