,Bakery,Beer & Liquor,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
Bakery,1.0,4e-06,0.001083,0.162839,0.065963,0.246752,0.191321,0.328943,0.160071,0.000204,0.108741,0.076226,0.377408,0.176818,0.002587,0.143834,0.355942,0.193577,0.026502,0.05494,0.124786,0.024904,0.247791,8.1e-05,0.093989,0.309728,0.138087,0.078449,0.053295,0.05341,0.009513,0.000239,0.108067
Beer & Liquor,4e-06,1.0,0.0,2e-06,9e-06,5e-06,2e-06,7e-06,7e-06,0.0,0.0,0.0,2e-06,1e-06,0.0,4e-06,3e-06,2e-06,0.0,4e-06,5e-06,1.2e-05,6e-06,0.0,5e-06,6e-06,9e-06,8e-06,1.8e-05,1.2e-05,0.0,0.0,5e-06
Candied & Chocolate Covered Fruit,0.001083,0.0,1.0,0.001503,0.000816,0.000964,0.000841,0.001065,0.001195,0.001522,0.001451,0.001257,0.000964,0.001253,0.002351,0.001553,0.001024,0.001512,0.001091,0.001229,0.001122,0.000238,0.000936,0.000249,0.000953,0.000925,0.000662,0.000828,0.000185,0.000865,0.002488,0.000514,0.00079
Candy & Chocolate,0.162839,2e-06,0.001503,1.0,0.052973,0.131619,0.113649,0.152962,0.106664,0.000246,0.094579,0.06274,0.15282,0.112737,0.003359,0.106147,0.153959,0.127907,0.022641,0.050462,0.084093,0.019482,0.122316,6.8e-05,0.063851,0.155126,0.095756,0.058393,0.041256,0.043158,0.010178,0.000266,0.076142
Coffee,0.065963,9e-06,0.000816,0.052973,1.0,0.064358,0.057872,0.070506,0.055887,0.00019,0.045718,0.035569,0.064637,0.056797,0.002888,0.051793,0.066957,0.062598,0.019155,0.03309,0.045455,0.014235,0.051641,0.000178,0.039792,0.062062,0.045552,0.038324,0.026833,0.029945,0.007089,0.000214,0.046566
Condiments & Sauces,0.246752,5e-06,0.000964,0.131619,0.064358,1.0,0.178532,0.258912,0.147402,0.000186,0.096246,0.072908,0.272213,0.156425,0.002496,0.128578,0.26943,0.162991,0.028681,0.057508,0.125634,0.027379,0.186998,9.8e-05,0.101624,0.229485,0.122212,0.082877,0.052561,0.052899,0.010208,0.000313,0.102513
Cooking & Baking Ingredients,0.191321,2e-06,0.000841,0.113649,0.057872,0.178532,1.0,0.206606,0.123713,0.000188,0.083262,0.061952,0.213879,0.137274,0.002218,0.107724,0.201204,0.136694,0.028218,0.05915,0.104287,0.026989,0.13654,6.8e-05,0.103762,0.179072,0.101179,0.072671,0.046018,0.049776,0.008988,0.000342,0.08805
Dairy Products,0.328943,7e-06,0.001065,0.152962,0.070506,0.258912,0.206606,1.0,0.165995,0.000217,0.106665,0.075979,0.398072,0.180053,0.002461,0.143134,0.365333,0.194801,0.029692,0.06157,0.127818,0.025609,0.237638,9.8e-05,0.104312,0.300944,0.133843,0.082228,0.05388,0.05507,0.009658,0.000272,0.113078
Dips & Spreads,0.160071,7e-06,0.001195,0.106664,0.055887,0.147402,0.123713,0.165995,1.0,0.000262,0.085977,0.065344,0.158944,0.120889,0.002832,0.104759,0.161402,0.128758,0.031314,0.053886,0.096141,0.024965,0.121052,9.1e-05,0.077768,0.149101,0.092317,0.069384,0.047186,0.046243,0.01215,0.000255,0.08407
Food Gift Baskets,0.000204,0.0,0.001522,0.000246,0.00019,0.000186,0.000188,0.000217,0.000262,1.0,0.000256,0.000188,0.000203,0.000185,0.000461,0.000268,0.000199,0.000302,0.000169,0.000302,0.000199,7e-05,0.000189,0.000162,0.000225,0.000146,9.9e-05,0.000216,5.5e-05,0.000206,0.000372,0.00076,0.000188
Frozen Desserts & Novelties,0.108741,0.0,0.001451,0.094579,0.045718,0.096246,0.083262,0.106665,0.085977,0.000256,1.0,0.059232,0.099342,0.086084,0.003729,0.088386,0.104725,0.102109,0.025478,0.043999,0.071982,0.021201,0.085228,0.000126,0.053952,0.09575,0.074849,0.054718,0.038277,0.039167,0.011103,0.000303,0.065044
Fruit Flavored Drinks,0.076226,0.0,0.001257,0.06274,0.035569,0.072908,0.061952,0.075979,0.065344,0.000188,0.059232,1.0,0.069831,0.065841,0.00283,0.073706,0.076246,0.072197,0.023118,0.033696,0.061279,0.029928,0.061335,8e-05,0.047507,0.073744,0.065443,0.044369,0.046872,0.033489,0.008361,0.000218,0.070509
Fruits & Vegetables,0.377408,2e-06,0.000964,0.15282,0.064637,0.272213,0.213879,0.398072,0.158944,0.000203,0.099342,0.069831,1.0,0.183175,0.002194,0.139627,0.439034,0.192905,0.028037,0.059074,0.121078,0.022011,0.270501,8.2e-05,0.104394,0.342841,0.128893,0.077422,0.047397,0.051362,0.00949,0.000256,0.107835
"Grains, Rice & Cereal",0.176818,1e-06,0.001253,0.112737,0.056797,0.156425,0.137274,0.180053,0.120889,0.000185,0.086084,0.065841,0.183175,1.0,0.002791,0.114264,0.178118,0.142289,0.031632,0.056865,0.106261,0.025296,0.133161,5.4e-05,0.084659,0.167753,0.091241,0.071211,0.045828,0.047403,0.011111,0.000251,0.0856
Hot Chocolate,0.002587,0.0,0.002351,0.003359,0.002888,0.002496,0.002218,0.002461,0.002832,0.000461,0.003729,0.00283,0.002194,0.002791,1.0,0.003719,0.002327,0.003577,0.002671,0.002368,0.002516,0.000861,0.002138,0.000396,0.00195,0.00207,0.001575,0.002294,0.000776,0.002227,0.005399,0.000309,0.001687
Juice,0.143834,4e-06,0.001553,0.106147,0.051793,0.128578,0.107724,0.143134,0.104759,0.000268,0.088386,0.073706,0.139627,0.114264,0.003719,1.0,0.144864,0.127932,0.028262,0.048376,0.091531,0.022974,0.111313,0.000106,0.069719,0.130203,0.087449,0.064552,0.045916,0.045079,0.012192,0.000342,0.08148
"Meat, Seafood & Eggs",0.355942,3e-06,0.001024,0.153959,0.066957,0.26943,0.201204,0.365333,0.161402,0.000199,0.104725,0.076246,0.439034,0.178118,0.002327,0.144864,1.0,0.196718,0.027591,0.056275,0.127031,0.024682,0.266268,8.2e-05,0.099027,0.320123,0.138846,0.081475,0.052806,0.053283,0.008452,0.000254,0.113241
Milk,0.193577,2e-06,0.001512,0.127907,0.062598,0.162991,0.136694,0.194801,0.128758,0.000302,0.102109,0.072197,0.192905,0.142289,0.003577,0.127932,0.196718,1.0,0.027055,0.055619,0.104689,0.025225,0.143131,9.5e-05,0.080502,0.167423,0.10636,0.074593,0.04879,0.052103,0.011314,0.000298,0.092804
Non-Dairy Milk,0.026502,0.0,0.001091,0.022641,0.019155,0.028681,0.028218,0.029692,0.031314,0.000169,0.025478,0.023118,0.028037,0.031632,0.002671,0.028262,0.027591,0.027055,1.0,0.028181,0.025582,0.013801,0.020399,6.6e-05,0.025506,0.0249,0.018227,0.023443,0.017103,0.018561,0.024121,0.000338,0.025725
Nuts & Seeds,0.05494,4e-06,0.001229,0.050462,0.03309,0.057508,0.05915,0.06157,0.053886,0.000302,0.043999,0.033696,0.059074,0.056865,0.002368,0.048376,0.056275,0.055619,0.028181,1.0,0.043371,0.017027,0.041245,6.6e-05,0.050586,0.053919,0.038318,0.038323,0.024876,0.029279,0.01188,0.000462,0.043246
Pasta & Noodles,0.124786,5e-06,0.001122,0.084093,0.045455,0.125634,0.104287,0.127818,0.096141,0.000199,0.071982,0.061279,0.121078,0.106261,0.002516,0.091531,0.127031,0.104689,0.025582,0.043371,1.0,0.026974,0.10153,9.8e-05,0.074241,0.118388,0.081631,0.071385,0.04739,0.041346,0.010769,0.000254,0.072583
Powdered Beverage Mixes,0.024904,1.2e-05,0.000238,0.019482,0.014235,0.027379,0.026989,0.025609,0.024965,7e-05,0.021201,0.029928,0.022011,0.025296,0.000861,0.022974,0.024682,0.025225,0.013801,0.017027,0.026974,1.0,0.019154,3.4e-05,0.023837,0.025105,0.02534,0.024604,0.025444,0.016328,0.002673,0.000162,0.025802
Prepared Foods,0.247791,6e-06,0.000936,0.122316,0.051641,0.186998,0.13654,0.237638,0.121052,0.000189,0.085228,0.061335,0.270501,0.133161,0.002138,0.111313,0.266268,0.143131,0.020399,0.041245,0.10153,0.019154,1.0,0.000223,0.070519,0.228986,0.107546,0.06273,0.042419,0.042986,0.008376,0.000183,0.083976
Prepared Meals,8.1e-05,0.0,0.000249,6.8e-05,0.000178,9.8e-05,6.8e-05,9.8e-05,9.1e-05,0.000162,0.000126,8e-05,8.2e-05,5.4e-05,0.000396,0.000106,8.2e-05,9.5e-05,6.6e-05,6.6e-05,9.8e-05,3.4e-05,0.000223,1.0,7.9e-05,8e-05,0.000172,7.5e-05,6.8e-05,0.000167,9.5e-05,0.0,0.000117
Seasonings & Spices,0.093989,5e-06,0.000953,0.063851,0.039792,0.101624,0.103762,0.104312,0.077768,0.000225,0.053952,0.047507,0.104394,0.084659,0.00195,0.069719,0.099027,0.080502,0.025506,0.050586,0.074241,0.023837,0.070519,7.9e-05,1.0,0.087234,0.062137,0.05771,0.036202,0.03782,0.009007,0.000421,0.060783
Snack Foods,0.309728,6e-06,0.000925,0.155126,0.062062,0.229485,0.179072,0.300944,0.149101,0.000146,0.09575,0.073744,0.342841,0.167753,0.00207,0.130203,0.320123,0.167423,0.0249,0.053919,0.118388,0.025105,0.228986,8e-05,0.087234,1.0,0.13535,0.073175,0.056217,0.049877,0.007891,0.000217,0.105882
Soda,0.138087,9e-06,0.000662,0.095756,0.045552,0.122212,0.101179,0.133843,0.092317,9.9e-05,0.074849,0.065443,0.128893,0.091241,0.001575,0.087449,0.138846,0.10636,0.018227,0.038318,0.081631,0.02534,0.107546,0.000172,0.062137,0.13535,1.0,0.058784,0.056841,0.041661,0.005357,0.000154,0.084134
Soups & Broths,0.078449,8e-06,0.000828,0.058393,0.038324,0.082877,0.072671,0.082228,0.069384,0.000216,0.054718,0.044369,0.077422,0.071211,0.002294,0.064552,0.081475,0.074593,0.023443,0.038323,0.071385,0.024604,0.06273,7.5e-05,0.05771,0.073175,0.058784,1.0,0.036586,0.036173,0.008443,0.000288,0.055536
Sports & Energy Drinks,0.053295,1.8e-05,0.000185,0.041256,0.026833,0.052561,0.046018,0.05388,0.047186,5.5e-05,0.038277,0.046872,0.047397,0.045828,0.000776,0.045916,0.052806,0.04879,0.017103,0.024876,0.04739,0.025444,0.042419,6.8e-05,0.036202,0.056217,0.056841,0.036586,1.0,0.028962,0.002638,0.000132,0.053921
Tea & Infusions,0.05341,1.2e-05,0.000865,0.043158,0.029945,0.052899,0.049776,0.05507,0.046243,0.000206,0.039167,0.033489,0.051362,0.047403,0.002227,0.045079,0.053283,0.052103,0.018561,0.029279,0.041346,0.016328,0.042986,0.000167,0.03782,0.049877,0.041661,0.036173,0.028962,1.0,0.006485,0.000244,0.040808
"Tofu, Soy & Vegetarian Products",0.009513,0.0,0.002488,0.010178,0.007089,0.010208,0.008988,0.009658,0.01215,0.000372,0.011103,0.008361,0.00949,0.011111,0.005399,0.012192,0.008452,0.011314,0.024121,0.01188,0.010769,0.002673,0.008376,9.5e-05,0.009007,0.007891,0.005357,0.008443,0.002638,0.006485,1.0,0.000543,0.006703
Vinegar Drinks,0.000239,0.0,0.000514,0.000266,0.000214,0.000313,0.000342,0.000272,0.000255,0.00076,0.000303,0.000218,0.000256,0.000251,0.000309,0.000342,0.000254,0.000298,0.000338,0.000462,0.000254,0.000162,0.000183,0.0,0.000421,0.000217,0.000154,0.000288,0.000132,0.000244,0.000543,1.0,0.000184
Water,0.108067,5e-06,0.00079,0.076142,0.046566,0.102513,0.08805,0.113078,0.08407,0.000188,0.065044,0.070509,0.107835,0.0856,0.001687,0.08148,0.113241,0.092804,0.025725,0.043246,0.072583,0.025802,0.083976,0.000117,0.060783,0.105882,0.084134,0.055536,0.053921,0.040808,0.006703,0.000184,1.0
